Cell,Foci,Drug,Time
Wide-type,1,ETP +,6
Wide-type,2,ETP +,6
Wide-type,0,ETP +,6
Wide-type,0,ETP +,6
Wide-type,0,ETP +,6
Wide-type,0,ETP +,6
Wide-type,2,ETP +,6
Wide-type,0,ETP +,6
Wide-type,0,ETP +,6
Wide-type,1,ETP +,6
Wide-type,1,ETP +,6
Wide-type,0,ETP +,6
Wide-type,1,ETP +,6
Wide-type,1,ETP +,6
Wide-type,3,ETP +,6
Wide-type,5,ETP +,6
Wide-type,4,ETP +,6
mu1,4,ETP -,0
mu1,11,ETP -,0
mu1,4,ETP -,0
mu1,1,ETP -,0
mu1,3,ETP -,0
mu1,3,ETP -,0
mu1,1,ETP -,0
mu1,3,ETP -,0
mu1,1,ETP -,0
mu1,2,ETP -,0
mu1,0,ETP -,0
mu1,5,ETP -,0
mu1,0,ETP -,0
mu1,0,ETP -,0
mu1,7,ETP -,0
mu1,4,ETP -,0
mu1,1,ETP -,0
mu1,5,ETP -,0
mu1,1,ETP -,0
mu1,3,ETP -,0
mu1,2,ETP -,0
mu1,0,ETP -,0
mu1,1,ETP -,0
mu1,0,ETP -,0
mu1,1,ETP -,0
mu1,2,ETP -,0
mu1,1,ETP -,0
mu1,1,ETP -,0
mu1,2,ETP -,0
mu1,0,ETP -,0
mu1,1,ETP -,0
mu1,0,ETP -,0
mu1,1,ETP -,0
mu1,2,ETP -,0
mu1,0,ETP -,0
mu1,0,ETP -,0
mu1,0,ETP -,0
mu1,0,ETP -,0
mu1,2,ETP -,0
mu1,0,ETP -,0
mu1,0,ETP -,0
mu1,1,ETP -,0
mu1,1,ETP -,0
mu1,0,ETP -,0
mu1,1,ETP -,0
mu1,1,ETP -,0
mu1,3,ETP -,0
mu1,5,ETP -,0
mu1,4,ETP -,0
mu1,3,ETP +,0.1
mu1,2,ETP +,0.1
mu1,4,ETP +,0.1
mu1,5,ETP +,0.1
mu1,0,ETP +,0.1
mu1,2,ETP +,0.1
mu1,5,ETP +,0.1
mu1,7,ETP +,0.1
mu1,3,ETP +,0.1
mu1,8,ETP +,0.1
mu1,15,ETP +,0.1
mu1,20,ETP +,0.1
mu1,7,ETP +,0.1
mu1,18,ETP +,0.1
mu1,4,ETP +,0.1
mu1,5,ETP +,0.1
mu1,9,ETP +,0.1
mu1,12,ETP +,0.1
mu1,1,ETP +,0.1
mu1,10,ETP +,0.1
mu1,5,ETP +,0.1
mu1,5,ETP +,0.1
mu1,12,ETP +,0.1
mu1,5,ETP +,0.1
mu1,6,ETP +,0.1
mu1,11,ETP +,0.1
mu1,6,ETP +,0.1
mu1,9,ETP +,0.1
mu1,8,ETP +,0.1
mu1,1,ETP +,0.1
mu1,5,ETP +,0.1
mu1,5,ETP +,0.1
mu1,2,ETP +,0.1
mu1,11,ETP +,0.1
mu1,7,ETP +,0.1
mu1,6,ETP +,0.1
mu1,5,ETP +,0.1
mu1,10,ETP +,0.1
mu1,12,ETP +,0.1
mu1,7,ETP +,0.1
mu1,8,ETP +,0.1
mu1,2,ETP +,0.1
mu1,7,ETP +,0.1
mu1,15,ETP +,0.1
mu1,4,ETP +,0.1
mu1,9,ETP +,0.1
mu1,6,ETP +,0.1
mu1,4,ETP +,0.1
mu1,8,ETP +,0.1
mu1,4,ETP +,2
mu1,3,ETP +,2
mu1,1,ETP +,2
mu1,2,ETP +,2
mu1,0,ETP +,2
mu1,3,ETP +,2
mu1,2,ETP +,2
mu1,4,ETP +,2
mu1,0,ETP +,2
mu1,0,ETP +,2
mu1,5,ETP +,2
mu1,1,ETP +,2
mu1,0,ETP +,2
mu1,3,ETP +,2
mu1,1,ETP +,2
mu1,1,ETP +,2
mu1,4,ETP +,2
mu1,0,ETP +,2
mu1,1,ETP +,2
mu1,1,ETP +,2
mu1,0,ETP +,2
mu1,1,ETP +,2
mu1,2,ETP +,2
mu1,2,ETP +,2
mu1,3,ETP +,2
mu1,0,ETP +,2
mu1,0,ETP +,2
mu1,0,ETP +,2
mu1,1,ETP +,2
mu1,0,ETP +,2
mu1,0,ETP +,2
mu1,0,ETP +,2
mu1,3,ETP +,2
mu1,3,ETP +,2
mu1,0,ETP +,2
mu1,0,ETP +,2
mu1,3,ETP +,2
mu1,1,ETP +,2
mu1,3,ETP +,2
mu1,4,ETP +,2
mu1,3,ETP +,2
mu1,0,ETP +,2
mu1,1,ETP +,2
mu1,3,ETP +,2
mu1,8,ETP +,2
mu1,5,ETP +,2
mu1,2,ETP +,2
mu1,1,ETP +,2
mu1,0,ETP +,2
mu1,4,ETP +,6
mu1,11,ETP +,6
mu1,4,ETP +,6
mu1,1,ETP +,6
mu1,3,ETP +,6
mu1,3,ETP +,6
mu1,1,ETP +,6
mu1,3,ETP +,6
mu1,1,ETP +,6
mu1,2,ETP +,6
mu1,0,ETP +,6
mu1,5,ETP +,6
mu1,0,ETP +,6
mu1,0,ETP +,6
mu1,7,ETP +,6
mu1,4,ETP +,6
mu1,1,ETP +,6
mu1,5,ETP +,6
mu1,1,ETP +,6
mu1,3,ETP +,6
mu1,2,ETP +,6
mu1,0,ETP +,6
mu1,1,ETP +,6
mu1,0,ETP +,6
mu1,1,ETP +,6
mu1,2,ETP +,6
mu1,1,ETP +,6
mu1,1,ETP +,6
mu1,2,ETP +,6
mu1,0,ETP +,6
mu1,1,ETP +,6
mu1,0,ETP +,6
mu1,1,ETP +,6
mu1,2,ETP +,6
mu1,0,ETP +,6
mu1,0,ETP +,6
mu1,0,ETP +,6
mu1,0,ETP +,6
mu1,2,ETP +,6
mu1,0,ETP +,6
mu1,0,ETP +,6
mu1,1,ETP +,6
mu1,1,ETP +,6
mu1,0,ETP +,6
mu1,1,ETP +,6
mu1,1,ETP +,6
mu1,3,ETP +,6
mu1,5,ETP +,6
mu1,4,ETP +,6
shGn1,4,ETP -,0
shGn1,11,ETP -,0
shGn1,4,ETP -,0
shGn1,1,ETP -,0
shGn1,3,ETP -,0
shGn1,3,ETP -,0
shGn1,1,ETP -,0
shGn1,3,ETP -,0
shGn1,1,ETP -,0
shGn1,2,ETP -,0
shGn1,0,ETP -,0
shGn1,5,ETP -,0
shGn1,0,ETP -,0
shGn1,0,ETP -,0
shGn1,7,ETP -,0
shGn1,4,ETP -,0
shGn1,1,ETP -,0
shGn1,5,ETP -,0
shGn1,1,ETP -,0
shGn1,3,ETP -,0
shGn1,2,ETP -,0
shGn1,0,ETP -,0
shGn1,1,ETP -,0
shGn1,0,ETP -,0
shGn1,1,ETP -,0
shGn1,2,ETP -,0
shGn1,1,ETP -,0
shGn1,1,ETP -,0
shGn1,2,ETP -,0
shGn1,0,ETP -,0
shGn1,1,ETP -,0
shGn1,0,ETP -,0
shGn1,1,ETP -,0
shGn1,2,ETP -,0
shGn1,0,ETP -,0
shGn1,0,ETP -,0
shGn1,0,ETP -,0
shGn1,0,ETP -,0
shGn1,2,ETP -,0
shGn1,0,ETP -,0
shGn1,0,ETP -,0
shGn1,1,ETP -,0
shGn1,1,ETP -,0
shGn1,0,ETP -,0
shGn1,1,ETP -,0
shGn1,1,ETP -,0
shGn1,3,ETP -,0
shGn1,5,ETP -,0
shGn1,4,ETP -,0
shGn1,3,ETP +,0.1
shGn1,2,ETP +,0.1
shGn1,4,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,0,ETP +,0.1
shGn1,2,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,7,ETP +,0.1
shGn1,3,ETP +,0.1
shGn1,8,ETP +,0.1
shGn1,15,ETP +,0.1
shGn1,20,ETP +,0.1
shGn1,7,ETP +,0.1
shGn1,18,ETP +,0.1
shGn1,4,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,9,ETP +,0.1
shGn1,12,ETP +,0.1
shGn1,1,ETP +,0.1
shGn1,10,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,12,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,6,ETP +,0.1
shGn1,11,ETP +,0.1
shGn1,6,ETP +,0.1
shGn1,9,ETP +,0.1
shGn1,8,ETP +,0.1
shGn1,1,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,2,ETP +,0.1
shGn1,11,ETP +,0.1
shGn1,7,ETP +,0.1
shGn1,6,ETP +,0.1
shGn1,5,ETP +,0.1
shGn1,10,ETP +,0.1
shGn1,12,ETP +,0.1
shGn1,7,ETP +,0.1
shGn1,8,ETP +,0.1
shGn1,2,ETP +,0.1
shGn1,7,ETP +,0.1
shGn1,15,ETP +,0.1
shGn1,4,ETP +,0.1
shGn1,9,ETP +,0.1
shGn1,6,ETP +,0.1
shGn1,4,ETP +,0.1
shGn1,8,ETP +,0.1
shGn1,4,ETP +,2
shGn1,3,ETP +,2
shGn1,1,ETP +,2
shGn1,2,ETP +,2
shGn1,0,ETP +,2
shGn1,3,ETP +,2
shGn1,2,ETP +,2
shGn1,4,ETP +,2
shGn1,0,ETP +,2
shGn1,0,ETP +,2
shGn1,5,ETP +,2
shGn1,1,ETP +,2
shGn1,0,ETP +,2
shGn1,3,ETP +,2
shGn1,1,ETP +,2
shGn1,1,ETP +,2
shGn1,4,ETP +,2
shGn1,0,ETP +,2
shGn1,1,ETP +,2
shGn1,1,ETP +,2
shGn1,0,ETP +,2
shGn1,1,ETP +,2
shGn1,2,ETP +,2
shGn1,2,ETP +,2
shGn1,3,ETP +,2
shGn1,0,ETP +,2
shGn1,0,ETP +,2
shGn1,0,ETP +,2
shGn1,1,ETP +,2
shGn1,0,ETP +,2
shGn1,0,ETP +,2
shGn1,0,ETP +,2
shGn1,3,ETP +,2
shGn1,3,ETP +,2
shGn1,0,ETP +,2
shGn1,0,ETP +,2
shGn1,3,ETP +,2
shGn1,1,ETP +,2
shGn1,3,ETP +,2
shGn1,4,ETP +,2
shGn1,3,ETP +,2
shGn1,0,ETP +,2
shGn1,1,ETP +,2
shGn1,3,ETP +,2
shGn1,8,ETP +,2
shGn1,5,ETP +,2
shGn1,2,ETP +,2
shGn1,1,ETP +,2
shGn1,0,ETP +,2
shGn1,4,ETP +,6
shGn1,11,ETP +,6
shGn1,4,ETP +,6
shGn1,1,ETP +,6
shGn1,3,ETP +,6
shGn1,3,ETP +,6
shGn1,1,ETP +,6
shGn1,3,ETP +,6
shGn1,1,ETP +,6
shGn1,2,ETP +,6
shGn1,0,ETP +,6
shGn1,5,ETP +,6
shGn1,0,ETP +,6
shGn1,0,ETP +,6
shGn1,7,ETP +,6
shGn1,4,ETP +,6
shGn1,1,ETP +,6
shGn1,5,ETP +,6
shGn1,1,ETP +,6
shGn1,3,ETP +,6
shGn1,2,ETP +,6
shGn1,0,ETP +,6
shGn1,1,ETP +,6
shGn1,0,ETP +,6
shGn1,1,ETP +,6
shGn1,2,ETP +,6
shGn1,1,ETP +,6
shGn1,1,ETP +,6
shGn1,2,ETP +,6
shGn1,0,ETP +,6
shGn1,1,ETP +,6
shGn1,0,ETP +,6
shGn1,1,ETP +,6
shGn1,2,ETP +,6
shGn1,0,ETP +,6
shGn1,0,ETP +,6
shGn1,0,ETP +,6
shGn1,0,ETP +,6
shGn1,2,ETP +,6
shGn1,0,ETP +,6
shGn1,0,ETP +,6
shGn1,1,ETP +,6
shGn1,1,ETP +,6
shGn1,0,ETP +,6
shGn1,1,ETP +,6
shGn1,1,ETP +,6
shGn1,3,ETP +,6
shGn1,5,ETP +,6
shGn1,4,ETP +,6
shGn2,4,ETP -,0
shGn2,11,ETP -,0
shGn2,4,ETP -,0
shGn2,1,ETP -,0
shGn2,3,ETP -,0
shGn2,3,ETP -,0
shGn2,1,ETP -,0
shGn2,3,ETP -,0
shGn2,1,ETP -,0
shGn2,2,ETP -,0
shGn2,0,ETP -,0
shGn2,5,ETP -,0
shGn2,0,ETP -,0
shGn2,0,ETP -,0
shGn2,7,ETP -,0
shGn2,4,ETP -,0
shGn2,1,ETP -,0
shGn2,5,ETP -,0
shGn2,1,ETP -,0
shGn2,3,ETP -,0
shGn2,2,ETP -,0
shGn2,0,ETP -,0
shGn2,1,ETP -,0
shGn2,0,ETP -,0
shGn2,1,ETP -,0
shGn2,2,ETP -,0
shGn2,1,ETP -,0
shGn2,1,ETP -,0
shGn2,2,ETP -,0
shGn2,0,ETP -,0
shGn2,1,ETP -,0
shGn2,0,ETP -,0
shGn2,1,ETP -,0
shGn2,2,ETP -,0
shGn2,0,ETP -,0
shGn2,0,ETP -,0
shGn2,0,ETP -,0
shGn2,0,ETP -,0
shGn2,2,ETP -,0
shGn2,0,ETP -,0
shGn2,0,ETP -,0
shGn2,1,ETP -,0
shGn2,1,ETP -,0
shGn2,0,ETP -,0
shGn2,1,ETP -,0
shGn2,1,ETP -,0
shGn2,3,ETP -,0
shGn2,5,ETP -,0
shGn2,4,ETP -,0
shGn2,3,ETP +,0.1
shGn2,2,ETP +,0.1
shGn2,4,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,0,ETP +,0.1
shGn2,2,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,7,ETP +,0.1
shGn2,3,ETP +,0.1
shGn2,8,ETP +,0.1
shGn2,15,ETP +,0.1
shGn2,20,ETP +,0.1
shGn2,7,ETP +,0.1
shGn2,18,ETP +,0.1
shGn2,4,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,9,ETP +,0.1
shGn2,12,ETP +,0.1
shGn2,1,ETP +,0.1
shGn2,10,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,12,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,6,ETP +,0.1
shGn2,11,ETP +,0.1
shGn2,6,ETP +,0.1
shGn2,9,ETP +,0.1
shGn2,8,ETP +,0.1
shGn2,1,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,2,ETP +,0.1
shGn2,11,ETP +,0.1
shGn2,7,ETP +,0.1
shGn2,6,ETP +,0.1
shGn2,5,ETP +,0.1
shGn2,10,ETP +,0.1
shGn2,12,ETP +,0.1
shGn2,7,ETP +,0.1
shGn2,8,ETP +,0.1
shGn2,2,ETP +,0.1
shGn2,7,ETP +,0.1
shGn2,15,ETP +,0.1
shGn2,4,ETP +,0.1
shGn2,9,ETP +,0.1
shGn2,6,ETP +,0.1
shGn2,4,ETP +,0.1
shGn2,8,ETP +,0.1
shGn2,4,ETP +,2
shGn2,3,ETP +,2
shGn2,1,ETP +,2
shGn2,2,ETP +,2
shGn2,0,ETP +,2
shGn2,3,ETP +,2
shGn2,2,ETP +,2
shGn2,4,ETP +,2
shGn2,0,ETP +,2
shGn2,0,ETP +,2
shGn2,5,ETP +,2
shGn2,1,ETP +,2
shGn2,0,ETP +,2
shGn2,3,ETP +,2
shGn2,1,ETP +,2
shGn2,1,ETP +,2
shGn2,4,ETP +,2
shGn2,0,ETP +,2
shGn2,1,ETP +,2
shGn2,1,ETP +,2
shGn2,0,ETP +,2
shGn2,1,ETP +,2
shGn2,2,ETP +,2
shGn2,2,ETP +,2
shGn2,3,ETP +,2
shGn2,0,ETP +,2
shGn2,0,ETP +,2
shGn2,0,ETP +,2
shGn2,1,ETP +,2
shGn2,0,ETP +,2
shGn2,0,ETP +,2
shGn2,0,ETP +,2
shGn2,3,ETP +,2
shGn2,3,ETP +,2
shGn2,0,ETP +,2
shGn2,0,ETP +,2
shGn2,3,ETP +,2
shGn2,1,ETP +,2
shGn2,3,ETP +,2
shGn2,4,ETP +,2
shGn2,3,ETP +,2
shGn2,0,ETP +,2
shGn2,1,ETP +,2
shGn2,3,ETP +,2
shGn2,8,ETP +,2
shGn2,5,ETP +,2
shGn2,2,ETP +,2
shGn2,1,ETP +,2
shGn2,0,ETP +,2
shGn2,4,ETP +,6
shGn2,11,ETP +,6
shGn2,4,ETP +,6
shGn2,1,ETP +,6
shGn2,3,ETP +,6
shGn2,3,ETP +,6
shGn2,1,ETP +,6
shGn2,3,ETP +,6
shGn2,1,ETP +,6
shGn2,2,ETP +,6
shGn2,0,ETP +,6
shGn2,5,ETP +,6
shGn2,0,ETP +,6
shGn2,0,ETP +,6
shGn2,7,ETP +,6
shGn2,4,ETP +,6
shGn2,1,ETP +,6
shGn2,5,ETP +,6
shGn2,1,ETP +,6
shGn2,3,ETP +,6
shGn2,2,ETP +,6
shGn2,0,ETP +,6
shGn2,1,ETP +,6
shGn2,0,ETP +,6
shGn2,1,ETP +,6
shGn2,2,ETP +,6
shGn2,1,ETP +,6
shGn2,1,ETP +,6
shGn2,2,ETP +,6
shGn2,0,ETP +,6
shGn2,1,ETP +,6
shGn2,0,ETP +,6
shGn2,1,ETP +,6
shGn2,2,ETP +,6
shGn2,0,ETP +,6
shGn2,0,ETP +,6
shGn2,0,ETP +,6
shGn2,0,ETP +,6
shGn2,2,ETP +,6
shGn2,0,ETP +,6
shGn2,0,ETP +,6
shGn2,1,ETP +,6
shGn2,1,ETP +,6
shGn2,0,ETP +,6
shGn2,1,ETP +,6
shGn2,1,ETP +,6
shGn2,3,ETP +,6
shGn2,5,ETP +,6
shGn2,4,ETP +,6
mu2,4,ETP -,0
mu2,11,ETP -,0
mu2,4,ETP -,0
mu2,1,ETP -,0
mu2,3,ETP -,0
mu2,3,ETP -,0
mu2,1,ETP -,0
mu2,3,ETP -,0
mu2,1,ETP -,0
mu2,2,ETP -,0
mu2,0,ETP -,0
mu2,5,ETP -,0
mu2,0,ETP -,0
mu2,0,ETP -,0
mu2,7,ETP -,0
mu2,4,ETP -,0
mu2,1,ETP -,0
mu2,5,ETP -,0
mu2,1,ETP -,0
mu2,3,ETP -,0
mu2,2,ETP -,0
mu2,0,ETP -,0
mu2,1,ETP -,0
mu2,0,ETP -,0
mu2,1,ETP -,0
mu2,2,ETP -,0
mu2,1,ETP -,0
mu2,1,ETP -,0
mu2,2,ETP -,0
mu2,0,ETP -,0
mu2,1,ETP -,0
mu2,0,ETP -,0
mu2,1,ETP -,0
mu2,2,ETP -,0
mu2,0,ETP -,0
mu2,0,ETP -,0
mu2,0,ETP -,0
mu2,0,ETP -,0
mu2,2,ETP -,0
mu2,0,ETP -,0
mu2,0,ETP -,0
mu2,1,ETP -,0
mu2,1,ETP -,0
mu2,0,ETP -,0
mu2,1,ETP -,0
mu2,1,ETP -,0
mu2,3,ETP -,0
mu2,5,ETP -,0
mu2,4,ETP -,0
mu2,3,ETP +,0.1
mu2,2,ETP +,0.1
mu2,4,ETP +,0.1
mu2,5,ETP +,0.1
mu2,0,ETP +,0.1
mu2,2,ETP +,0.1
mu2,5,ETP +,0.1
mu2,7,ETP +,0.1
mu2,3,ETP +,0.1
mu2,8,ETP +,0.1
mu2,15,ETP +,0.1
mu2,20,ETP +,0.1
mu2,7,ETP +,0.1
mu2,18,ETP +,0.1
mu2,4,ETP +,0.1
mu2,5,ETP +,0.1
mu2,9,ETP +,0.1
mu2,12,ETP +,0.1
mu2,1,ETP +,0.1
mu2,10,ETP +,0.1
mu2,5,ETP +,0.1
mu2,5,ETP +,0.1
mu2,12,ETP +,0.1
mu2,5,ETP +,0.1
mu2,6,ETP +,0.1
mu2,11,ETP +,0.1
mu2,6,ETP +,0.1
mu2,9,ETP +,0.1
mu2,8,ETP +,0.1
mu2,1,ETP +,0.1
mu2,5,ETP +,0.1
mu2,5,ETP +,0.1
mu2,2,ETP +,0.1
mu2,11,ETP +,0.1
mu2,7,ETP +,0.1
mu2,6,ETP +,0.1
mu2,5,ETP +,0.1
mu2,10,ETP +,0.1
mu2,12,ETP +,0.1
mu2,7,ETP +,0.1
mu2,8,ETP +,0.1
mu2,2,ETP +,0.1
mu2,7,ETP +,0.1
mu2,15,ETP +,0.1
mu2,4,ETP +,0.1
mu2,9,ETP +,0.1
mu2,6,ETP +,0.1
mu2,4,ETP +,0.1
mu2,8,ETP +,0.1
mu2,4,ETP +,2
mu2,3,ETP +,2
mu2,1,ETP +,2
mu2,2,ETP +,2
mu2,0,ETP +,2
mu2,3,ETP +,2
mu2,2,ETP +,2
mu2,4,ETP +,2
mu2,0,ETP +,2
mu2,0,ETP +,2
mu2,5,ETP +,2
mu2,1,ETP +,2
mu2,0,ETP +,2
mu2,3,ETP +,2
mu2,1,ETP +,2
mu2,1,ETP +,2
mu2,4,ETP +,2
mu2,0,ETP +,2
mu2,1,ETP +,2
mu2,1,ETP +,2
mu2,0,ETP +,2
mu2,1,ETP +,2
mu2,2,ETP +,2
mu2,2,ETP +,2
mu2,3,ETP +,2
mu2,0,ETP +,2
mu2,0,ETP +,2
mu2,0,ETP +,2
mu2,1,ETP +,2
mu2,0,ETP +,2
mu2,0,ETP +,2
mu2,0,ETP +,2
mu2,3,ETP +,2
mu2,3,ETP +,2
mu2,0,ETP +,2
mu2,0,ETP +,2
mu2,3,ETP +,2
mu2,1,ETP +,2
mu2,3,ETP +,2
mu2,4,ETP +,2
mu2,3,ETP +,2
mu2,0,ETP +,2
mu2,1,ETP +,2
mu2,3,ETP +,2
mu2,8,ETP +,2
mu2,5,ETP +,2
mu2,2,ETP +,2
mu2,1,ETP +,2
mu2,0,ETP +,2
mu2,4,ETP +,6
mu2,11,ETP +,6
mu2,4,ETP +,6
mu2,1,ETP +,6
mu2,3,ETP +,6
mu2,3,ETP +,6
mu2,1,ETP +,6
mu2,3,ETP +,6
mu2,1,ETP +,6
mu2,2,ETP +,6
mu2,0,ETP +,6
mu2,5,ETP +,6
mu2,0,ETP +,6
mu2,0,ETP +,6
mu2,7,ETP +,6
mu2,4,ETP +,6
mu2,1,ETP +,6
mu2,5,ETP +,6
mu2,1,ETP +,6
mu2,3,ETP +,6
mu2,2,ETP +,6
mu2,0,ETP +,6
mu2,1,ETP +,6
mu2,0,ETP +,6
mu2,1,ETP +,6
mu2,2,ETP +,6
mu2,1,ETP +,6
mu2,1,ETP +,6
mu2,2,ETP +,6
mu2,0,ETP +,6
mu2,1,ETP +,6
mu2,0,ETP +,6
mu2,1,ETP +,6
mu2,2,ETP +,6
mu2,0,ETP +,6
mu2,0,ETP +,6
mu2,0,ETP +,6
mu2,0,ETP +,6
mu2,2,ETP +,6
mu2,0,ETP +,6
mu2,0,ETP +,6
mu2,1,ETP +,6
mu2,1,ETP +,6
mu2,0,ETP +,6
mu2,1,ETP +,6
